name,1992,2020,diff_1992_minus_2020,diff_percent_1992_vs_2020
05_Deut,2310,1985,325,16.37
16_Neh,1546,1360,186,13.68
18_Job,2156,1897,259,13.65
10_2Sam,1947,1743,204,11.7
58_Heb,1185,1072,113,10.54
27_Dan,1304,1181,123,10.41
11_1Kgs,2090,1900,190,10.0
65_Jude,306,279,27,9.68
44_Acts,2260,2068,192,9.28
03_Lev,1520,1400,120,8.57
31_Obad,221,204,17,8.33
61_2Pet,499,461,38,8.24
20_Prov,1827,1688,139,8.23
35_Hab,470,435,35,8.05
02_Exod,2224,2059,165,8.01
14_2Chr,2272,2105,167,7.93
09_1Sam,1910,1776,134,7.55
24_Jer,2751,2562,189,7.38
15_Ezra,1129,1054,75,7.12
39_Mal,419,395,24,6.08
49_Eph,653,616,37,6.01
12_2Kgs,1982,1874,108,5.76
36_Zeph,446,422,24,5.69
19_Ps,2759,2612,147,5.63
42_Luke,2226,2112,114,5.4
13_1Chr,2701,2566,135,5.26
55_2Tim,530,506,24,4.74
50_Phil,528,505,23,4.55
06_Josh,1692,1621,71,4.38
23_Isa,3113,3010,103,3.42
40_Matt,2048,1983,65,3.28
52_1Thess,450,439,11,2.51
51_Col,518,506,12,2.37
08_Ruth,433,423,10,2.36
54_1Tim,623,609,14,2.3
41_Mark,1542,1509,33,2.19
34_Nah,424,415,9,2.17
21_Eccl,820,806,14,1.74
26_Ezek,2474,2434,40,1.64
56_Titus,349,344,5,1.45
45_Rom,1196,1180,16,1.36
59_Jas,612,608,4,0.66
04_Num,2085,2077,8,0.39
33_Mic,693,694,-1,-0.14
60_1Pet,610,611,-1,-0.16
53_2Thess,300,302,-2,-0.66
01_Gen,2528,2566,-38,-1.48
47_2Cor,927,941,-14,-1.49
46_1Cor,1163,1199,-36,-3.0
29_Joel,516,532,-16,-3.01
25_Lam,737,761,-24,-3.15
30_Amos,808,836,-28,-3.35
38_Zech,923,956,-33,-3.45
43_John,1267,1315,-48,-3.65
48_Gal,637,662,-25,-3.78
07_Judg,1760,1833,-73,-3.98
37_Hag,264,276,-12,-4.35
22_Song,587,626,-39,-6.23
63_2John,126,135,-9,-6.67
64_3John,140,150,-10,-6.67
66_Rev,1221,1310,-89,-6.79
28_Hos,904,996,-92,-9.24
57_Phlm,168,186,-18,-9.68
62_1John,305,344,-39,-11.34
17_Esth,758,855,-97,-11.35
32_Jonah,310,361,-51,-14.13
