name	1992	2020	diff_19minus_2020	diff_percent_19vs_2020
Ezek	30664	24956	5708	22.87
Lev	19765	15124	4641	30.69
Num	22849	18252	4597	25.19
Exod	26617	22641	3976	17.56
Deut	26694	23245	3449	14.84
1Kgs	19972	16972	3000	17.68
Josh	14623	12331	2292	18.59
1Sam	21123	19136	1987	10.38
2Chr	21162	19240	1922	9.99
2Kgs	18981	17141	1840	10.73
Jer	33364	31614	1750	5.54
2Sam	17075	15581	1494	9.59
Dan	9612	8309	1303	15.68
Judg	15504	14788	716	4.84
Ezra	5562	5180	382	7.37
1Chr	15939	15583	356	2.28
Ruth	2255	2033	222	10.92
Esth	4823	4687	136	2.9
Hag	858	770	88	11.43
Obad	508	474	34	7.17
Hab	1200	1190	10	0.84
2John	311	330	-19	-5.76
Nah	973	997	-24	-2.41
Jude	678	702	-24	-3.42
Zeph	1235	1276	-41	-3.21
Neh	8250	8309	-59	-0.71
3John	318	389	-71	-18.25
Mal	1479	1567	-88	-5.62
Phlm	471	567	-96	-16.93
2Pet	1571	1694	-123	-7.26
Lam	2719	2843	-124	-4.36
Song	2206	2359	-153	-6.49
Joel	1531	1694	-163	-9.62
2Thess	1006	1177	-171	-14.53
Jonah	1120	1297	-177	-13.65
Titus	997	1176	-179	-15.22
Mic	2435	2640	-205	-7.77
1John	2407	2629	-222	-8.44
Zech	4847	5121	-274	-5.35
Phil	2222	2506	-284	-11.33
1Thess	1780	2067	-287	-13.88
Eccl	4843	5133	-290	-5.65
2Tim	1651	1948	-297	-15.25
Ps	35536	35838	-302	-0.84
Jas	2275	2586	-311	-12.03
Rev	10392	10741	-349	-3.25
Col	1872	2263	-391	-17.28
Eph	2836	3290	-454	-13.8
1Tim	2307	2763	-456	-16.5
Amos	3279	3741	-462	-12.35
1Pet	2363	2871	-508	-17.69
Mark	14331	14853	-522	-3.51
Hos	4164	4800	-636	-13.25
Gal	2968	3687	-719	-19.5
Prov	12611	13408	-797	-5.94
John	18154	19066	-912	-4.78
2Cor	6041	7049	-1008	-14.3
Heb	6790	7871	-1081	-13.73
Gen	31985	33558	-1573	-4.69
1Cor	9096	10814	-1718	-15.89
Matt	21745	23473	-1728	-7.36
Job	15717	17647	-1930	-10.94
Rom	8941	10893	-1952	-17.92
Luke	23962	25941	-1979	-7.63
Acts	22513	24886	-2373	-9.54
Isa	29399	32268	-2869	-8.89
